id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6nc2j,Gantungan Hook Isi 10 PCS Tempel Baju Dinding Warna Warni Multifungsi,Perlengkapan Kantor Lainnya,Baru,5,1,665,2,1,0,17902,19250,7,"<p>""WARNA RANDOM</p><p>Gantungan Tempel Hook Aksesori Kamar Mandi Pasang Dinding. Kegunaan dapat digunakan untuk kait / topi / dapur / perekat diri / barang / kunci / tirai / kamar mandi. Mampu menahan berat sampai dengan +/- 5kg. Bahan PVC fleksibel, perekat super dan logam berkualitas tinggi. Lembar perekat adalah PVC transparan.</p><p>Bagaimana Cara menggunakan Kait Tempel?</p><p>Sebelum menempel, pastikan ubin bebas dari air dan debu untuk membantu menempel lebih baik (jangan menempel pada dinding batu kapur dan usia dinding dengan permukaan lapuk karena tidak menghasilkan efek rekat ubin yang baik, Lepaskan film pelindung dan tempelkan ke ubin yang bersih.</p><p>Di bagian atas, tekan secara merata selama sekitar 10 detik untuk melepaskan udara permukaan. Untuk hasil terbaik, kami sarankan Anda menggunakannya dalam 5-24 jam pemasangan.</p><p>""""Perhatian"""": Jangan menempel pada dinding kapur, dan dinding yang sudah tua , karena akan menghambat daya rekat produk dan membuat produk jatuh, dapat digunakan pada ubin, kaca, dan permukaan logam halus lainnya.</p><p>Berat satuan : +/- 5,5 gram.<br>Dalam 1 kemasan: 10 buah / set""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6nc0y,Klip isi 20 Pcs Tempel Manajemen Klip Kabel Wire Organizer,Home Stuff,Baru,5,3,661,6,5,0,17902,19250,7,"<p>""Klip kabel ini berfungsi untuk merapikan kabel-kabel barang elektronik Anda, seperti kabel charger, kabel headset, maupun kabel power. Membuat ruangan dan meja kerja Anda jadi lebih rapih tanpa kabel yang kusut dimana-mana.</p><p>Features</p><p>No More Untidy Cable</p><p>Dengan cable clip ini, ruangan kerja / rumah Anda akan menjadi lebih rapih, karena tidak akan ada lagi kabel yang berantakan.</p><p>Easy to Apply</p><p>Klip kabel ini sangat mudah dipasangkan, hanya dengan menempelkan double tape, kemudian ditempelkan pada tempat yang Anda inginkan.</p><p>Good Material</p><p>Cable clip organizer ini terbuat dari material terbaik sehingga tidak mudah rusak dan tahan lama digunakan.""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6nbz4,Kotak Gulungan Kabel Portable/Tempat Penyimpanan Kabel Data/Charger,Tempat Penyimpanan & Organizer,Baru,0,0,666,1,0,0,17902,19250,7,"<p>""CATATAN ; HANYA TEMPAT SAJA ( TANPA KABEL USB )</p><p>Spesifikasi:<br>Nama: Kotak penyimpanan kabel data portabel perjalanan, kotak penyimpanan kabel pengisian earphone multi-fungsi yang dapat diputar</p><p>Bahan: ABS</p><p>Keterangan:<br>Kotak penyimpanan kabel data portabel perjalanan, kotak penyimpanan kabel pengisi daya earphone yang dapat diputar multifungsi<br>Bahan yang optimal, yakinlah untuk digunakan<br>Penyimpanan yang efektif, penting untuk rumah<br>Multifungsi dan serbaguna<br>Berbagai gaya untuk Anda pilih</p><p>catatan:</p><ol><li>Perkenankan kesalahan 0-1cm karena pengukuran manual.</li><li>Warna item yang ditampilkan dalam foto mungkin terlihat sedikit berbeda pada monitor komputer Anda karena monitor tidak dikalibrasi sama.</li><li>Jika Anda memiliki pertanyaan tentang produk, silahkan hubungi kami, kami akan dengan sabar menjawab untuk Anda!Lihat Lebih Sedikit""</li></ol>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6nbxy,Hanger Shoes Gantungan Jemuran Sepatu Sandal Kaos Kaki Topi 4 In 1,Gantungan Baju,Baru,5,1,661,7,5,0,14833,15950,7,"<p>""""""Hanger Shoes Gantungan Jemuran Sepatu Sandal Kaos Kaki Topi 4 In 1<br>Fitur:<br>-Dapat berputar 360derajat<br>-Anti jatuh<br>-Praktis<br>-Bisa utk tali spatu dan alas sepatu<br>-Multifungsi</p><p>Dimensi:19.5x19.5x24cm""""""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6nbmy,Alat Kupas Kulit Buah Sayur / Fruit Peeler / Parutan Buah,Alat Pemotong & Pisau,Baru,5,1,665,11,1,0,16879,18150,7,"<p>""""""Tipe Produk: Pengupas Buah<br>Bahan: Stainless + TPR + PP<br>Ukuran : 6.5cm X 6.5cm X 3.5cm</p><p>Pengupas desain dua jari terbaru, mengupas buah dan sayuran dengan pengupas yang dirancang nyaman ini, membantu Anda mengupas sayuran dengan tangan dalam hitungan detik dengan mudah<br>Bersarang dengan nyaman di telapak tangan, geser pengupas ke jari untuk mengupas kentang, wortel, mentimun, persik, pir, apel dan jenis buah dan sayuran lainnya<br>Kuasai tugas mengupas dengan pisau baja tahan karat 18/10 dan lepaskan mata kentang dengan alat di ujung pengupas<br>Dengan genggaman telapak tangan dan jari yang lembut, kupas dengan nyaman tanpa khawatir pengupas akan jatuh atau terpeleset tanpa disengaja, tidak ada yang sia-sia!<br>Mudah dibersihkan dengan meletakkannya di rak atas mesin pencuci piring. Stainless Steel food grade premium tidak pernah berkarat.""""""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6nbjd,Spion Bulat Sepeda Jalu Bar End Motor Classic Motor,Spion,Baru,5,6,659,23,7,0,20971,22550,7,"<p>""HARGA UNTUK = 1 PCS</p><p>Spion jalu atau nama lainnya spion bar end (bar end mirrors) bisa bikin motor terlihat lebih keren. Umumnya, spion motor standard bawaan pabrik terlihat besar dan kaku, sehingga banyak penyuka otomotif ingin memodifikasi motor menggunakan spion jalu.</p><p>Spesifikasi :</p><ul><li>Universal Untuk semua jenis motor</li><li>Tampilan Keren dan Classic</li><li>Area Besar dan Kaca Bening</li><li>Fleksible Dapat di putar-putar""</li></ul>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6nbea,Cable Organizer Klip Kabel Gadget Smarpthone PC Laptop Table Office,Kabel USB,Baru,5,1,665,4,1,0,7928,8525,7,"<p>""WARNA RANDOM</p><p>Klip kabel ini berfungsi untuk merapikan kabel-kabel barang elektronik Anda, seperti kabel charger, kabel headset, maupun kabel power. Membuat ruangan dan meja kerja Anda jadi lebih rapih tanpa kabel yang kusut dimana-mana.</p><p>Features<br>No More Untidy Cable<br>Dengan cable clip ini, ruangan kerja / rumah Anda akan menjadi lebih rapih, karena tidak akan ada lagi kabel yang berantakan.</p><p>Easy to Apply<br>Klip kabel ini sangat mudah dipasangkan, hanya dengan menempelkan double tape, kemudian ditempelkan pada tempat yang Anda inginkan.</p><p>Good Material<br>Cable clip organizer ini terbuat dari material terbaik sehingga tidak mudah rusak dan tahan lama digunakan.</p><p>Package Contents<br>Barang-barang yang anda dapat dalam kotak produk:</p><p>1 x Klip Kabel Organizer Cable Clip</p><p>Dimension 6.6 x 2.8 x 1.15 cm""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6n6ks,Alat Pemotong Kertas portable Paper Trimmer trimer mungil simpel,Cutter,Baru,5,1,665,3,1,0,48592,52250,7,"<p>""Features:<br>1.Portable and light weight<br>2.Suitable for A4 and A5<br>3.Good paper trimmer tool for home and office<br>4.Suitable for cutting up to 3 sheets of 80gsm paper at once.<br>5.Can be used for cutting printer paper,photo paper,laminated paper,vellum,construction paper,photo film,etc.</p><p>Description:<br>1.Material:ABS<br>2.Color:Blue, purple, pink , white<br>3.Size:L<em>W</em>H/26.5<em>8</em>1CM(Approx.)""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6n6ad,Suit Cover / Cover Jas / Sarung Pakaian A526,Tempat Penyimpanan & Organizer,Baru,5,2,659,2,7,0,21483,23100,7,"<p>"" """"Cloth Dust Cover / Cover Pakaian / Sarung Pakaian</p><p>Ready Warna :<br>HITAM<br>BIRU NAVY</p><p>UKURAN 62 x 99 cm<br>Gaun / jas yang anda beli mahal-mahal, jika disimpan di lemari tetap bisa kemasukan debu, akhirnya tiap mau dipakai mesti dicuci kembali, repot kan</p><p>Dengan Cover Pakaian, anda gak perlu buang duit untuk laundry gaun atau jas yang kotor atau kusam akibat berdebu. Jas / gaun anda akan tersimpan rapi dan bersih di dalam Cover Pakaian.</p><p>Model baru ini terbuat dari bahan kain furing tebal, ada gambar pakaian dan tulisan seperti di gambar. Tutup full resleting, ada lobang di bagian atas untuk lobang hanger (hanger tidak termasuk)</p><p>Sertakan Warna pada keterangan saat melakukan order, jika tidak menyertakan keterangan Warna akan kami kirim secara acak/random.</p><p>Harga Di Atas 1 Pcs<br>Berat Satuan: 135 Gram<br>Kode : A526""""""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6n64g,Tas Travel Tas Dokumen Kait Koper 2 Lapis Dengan Kunci Kombinasi A848,Satchel Bags,Baru,5,7,658,15,8,0,80305,86350,7,"<p>""READY<br>ABU<br>NAVY<br>HITAM</p><p>MODEL MINIMALIS 2 LAPIS BANYAK SEKAT<br>ADA KAITAN KOPER<br>UKURAN 36CM X 26CM X 11CM</p><p>Sertakan Warna pada keterangan saat melakukan order, jika tidak menyertakan keterangan Warna akan kami kirim secara acak/random.</p><p>Harga Di Atas 1 PCS""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6n5pd,Tongkat Jemuran Pengait Baju Tongkat Hanger Gantungan Baju A847,Jemuran Baju,Baru,5,1,664,11,2,0,27621,29700,7,"""UKURAN 65 - 108 CM<br><br/>BAHAN : ALUMINIUM + PLASTIK<br><br/><br><br/>READY WARNA :<br><br/>BIRU<br><br/><br><br/> Untuk mempermudah mengantung jemuran di tempat tinggi<br><br/> Bisa dipanjang atau dipendekan sesuai ketinggian<br><br/><br><br/>Sertakan Warna pada keterangan saat melakukan order, jika tidak menyertakan keterangan Warna akan kami kirim secara acak/random.<br><br/><br><br/>Harga Di Atas 1 PCS<br><br/>Berat Satuan: 400 Gram"""
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6n5kj,Hiasan Dinding Acrylic HEXAGONAL Impor Mirror Wall Stiker A846,Dekorasi Rumah,Baru,0,0,666,1,0,0,34270,36850,7,"<p>""Sebuah karya seni yang membawa kedamaian ,harmoni dan keromantisan di ruangan rumah anda<br>Pemasangan yang sangat mudah dan dapat disesuaikan dengan selera masing- masing.<br>Dengan ketebalan cermin plastik hanya sekitar 1 mm, cocok sekali untuk konsep rumah modern minimalis.</p><p>Ukuran: sesuai gambar kedua(18CMX15.5CMX9CM)<br>1 set isi 7pcs</p><p>CARA PEMAKAIAN : KELUPAS PLASTIK PELINDUNG MIRROR sehingga mengkilat</p><p>HARGA DI ATAS 1 SET ISI 7 PCS""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6n5c7,tempat tissu 6 sekat A831 selipan A831,Tempat Penyimpanan & Organizer,Baru,0,0,666,0,0,0,22506,24200,7,"<p>""Ready Warna<br>PUTIH<br>KREM<br>HITAM</p><p>UKURAN<br>25.2X11.5X17CM</p><p>BAHAN POLIESTER</p><p>Tempat tissue unik dan serbaguna, terdapat 3 sekat di bagian depan dan 3 sekat di bagian belakang.</p><p>Tidak hanya berfungsi sebagai kotak tissue, juga dapat dipakai untuk selipan handphone, remote, pulpen, gunting dan pernak pernik kecil lainnya</p><p>Terbuat dari bahan cotton linen tebal, tutup menggunakan perekat jenis velcro</p><p>Dengan design motif yang menarik, cocok untuk menambah dekorasi ruang rumah atau kantor.</p><p>Sertakan Warna pada keterangan saat melakukan order, jika tidak menyertakan keterangan Warna akan kami kirim secara acak/random.</p><p>Harga Di Atas 1 PCS""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6n4vg,Cosmetic Pouch Cable Pouch Tas Kosmetik Charger Dompet Serbaguna A558,Pouch Bags,Baru,5,1,665,4,1,0,19437,20900,7,"<p>""Korean Cocmetic/Cable Pouch yang didesain sangat menarik untuk di bawa, di mana pouch ini terdapat beberapa sekat di dalam nya untuk penyimpanan aksesoris anda, sehingga aman tanpa harus takut kena baret dgn aksesori yg lain nya,cocok untuk aksesoris gadgets/Cosmetic , seperti earphone, lipstik, charger hanphone dll nya.<br>Berpergian menjadi lebih rapi dengan Charger Pouch.<br>HP, Charger, Kabel, Powerbank bisa masuk semua di pouch yang empuk ini.</p><p>UKURAN 12 * 12 * 6 CM<br>Ready WARNA:<br>BIRU TUA<br>BIRU MUDA<br>PINK FANTA<br>PINK MUDA<br>KUNING</p><p>Sertakan Warna pada keterangan saat melakukan order, jika tidak menyertakan keterangan Warna akan kami kirim secara acak/random.</p><p>Harga Di Atas 1 Pcs<br>Berat Satuan: 90 Gram<br>Kode : A558""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6n4sv,Cable Pouch / Tas Charger Besar A272,Pouch Bags,Baru,5,5,660,8,6,0,20460,22000,7,"<p>""Korean Cable Pouch yang didesain sangat menarik untuk di bawa, di mana pouch ini terdapat beberapa sekat di dalam nya untuk penyimpanan aksesoris anda, sehingga aman tanpa harus takut kena baret dgn aksesori yg lain nya,cocok untuk aksesoris gadgets , seperti earphone, charger hanphone dll nya.<br>Berpergian menjadi lebih rapi dengan Charger Pouch.<br>HP, Charger, Kabel, Powerbank bisa masuk semua di pouch yang empuk ini.</p><p>UKURAN 19.5 * 14 * 3 CM<br>Ready WARNA:<br>BIRU NAVY<br>PINK FANTA<br>HIJAU<br>BIRU MUDA<br>ABU<br>MAROON</p><p>Sertakan Warna pada keterangan saat melakukan order, jika tidak menyertakan keterangan Warna akan kami kirim secara acak/random.</p><p>Harga Di Atas 1 Pcs<br>Berat Satuan: 75 Gram<br>Kode : A272""</p>"
588223778,dylex_shop_714848,Varoon shop,Calon Juragan,platinum,4h6n4m4,Gantungan Barang di Pintu / Sekat Tanpa Paku A656,Perkakas Rumah Tangga,Baru,5,1,660,4,6,0,8695,9350,7,"<p>""Gantungan barang inovatif yang tidak membutuhkan paku. Anda cukup mencantolkan gantungan ini di bagian atas pintu, dan beres sudah. Solusi yang sederhana. Bila Anda ingin memindahkan gantungan ini ke ruangan lain, Anda dengan mudah bisa mencopotnya.</p><p>Ukuran : 7 x 9 cm</p><p>WARNA TERSEDIA :<br>BIRU<br>PINK<br>HIJAU<br>KUNING<br>SILVER</p><p>Harga Di Atas 1 Pcs<br>Berat Satuan: 70 Gram""</p>"
